0 {'trial': 1, 'mode': 'wait', 'arrival': 'burst'} done
1 {'trial': 2, 'mode': 'cpu', 'arrival': 'burst'} done
2 {'trial': 0, 'mode': 'wait', 'arrival': 'burst'} done
3 {'trial': 1, 'mode': 'cpu', 'arrival': 'burst'} done
4 {'trial': 2, 'mode': 'cpu', 'arrival': 'stagger'} done
5 {'trial': 0, 'mode': 'cpu', 'arrival': 'burst'} done
6 {'trial': 0, 'mode': 'cpu', 'arrival': 'stagger'} done
7 {'trial': 2, 'mode': 'wait', 'arrival': 'burst'} done
8 {'trial': 1, 'mode': 'cpu', 'arrival': 'stagger'} done
