-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       1.613ms         0.07%       1.613ms       2.100us           768  
                                        cudaEventRecord         0.00%     340.499us         0.00%     340.499us       1.737us       1.158ms         0.05%       1.158ms       5.909us           196  
                                  Lazy Function Loading         0.00%     264.868us         0.00%     264.868us      17.658us       1.095ms         0.05%       1.095ms      73.027us            15  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.095ms         0.05%       1.095ms       5.701us           192  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.084ms         0.05%       1.084ms       1.844us           588  
                                           aten::argmax         0.02%       2.030ms         0.04%       3.825ms      19.517us       1.024ms         0.04%       1.024ms       5.225us           196  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     958.737us         0.04%     958.737us       1.248us           768  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     937.014us         0.04%     937.014us       1.195us           784  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     932.315us         0.04%     932.315us       4.757us           196  
                                           Buffer Flush         0.02%       1.638ms         0.02%       1.753ms      44.940us     795.733us         0.03%     795.733us      20.403us            39  
                                Activity Buffer Request         0.36%      36.021ms         0.37%      37.187ms     953.504us     784.921us         0.03%     948.087us      24.310us            39  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     480.535us         0.02%     480.535us       2.452us           196  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     445.895us         0.02%     445.895us       0.284us          1568  
                                              aten::add         0.03%       2.885ms         0.04%       4.056ms       6.897us     434.260us         0.02%     436.435us       0.742us           588  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     410.497us         0.02%     410.497us       2.094us           196  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     390.395us         0.02%     390.395us       1.992us           196  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     359.804us         0.02%     359.804us       1.836us           196  
                                     aten::index_select         0.02%       2.219ms         0.04%       3.957ms      10.096us     251.451us         0.01%     300.186us       0.766us           392  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     251.451us         0.01%     251.451us       1.397us           180  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     221.536us         0.01%     221.536us       1.130us           196  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     212.724us         0.01%     212.724us       1.085us           196  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     191.997us         0.01%     191.997us       0.980us           196  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     179.318us         0.01%     179.318us       0.915us           196  
                                              aten::sub         0.01%       1.213ms         0.02%       1.798ms       9.176us     165.630us         0.01%     166.430us       0.849us           196  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     165.630us         0.01%     165.630us       0.845us           196  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      91.801us         0.00%      91.801us       0.468us           196  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      70.369us         0.00%      70.369us       0.359us           196  
                                           aten::gather         0.00%     149.005us         0.00%     214.260us      13.391us      48.735us         0.00%      48.735us       3.046us            16  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      48.735us         0.00%      48.735us       3.046us            16  
                                   cudaEventSynchronize         5.75%     575.712ms         5.75%     575.712ms       2.937ms      22.368us         0.00%      22.368us       0.114us           196  
                   execute_context_0(0)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       4.864us         0.00%       4.864us       1.216us             4  
                execute_context_1(2048)_generation_0(0)         1.68%     168.063ms         5.89%     588.971ms      49.081ms       0.000us         0.00%     973.096ms      81.091ms            12  
                                            aten::zero_         0.02%       2.287ms         0.06%       6.008ms      30.041us       0.000us         0.00%     247.007us       1.235us           200  
                                       cudaLaunchKernel         4.28%     428.205ms         4.38%     438.568ms       2.670us       0.000us         0.00%      33.631us       0.000us        164236  
                                       aten::lift_fresh         0.00%      93.385us         0.00%      93.385us       0.158us       0.000us         0.00%       0.000us       0.000us           592  
                                            aten::slice         1.35%     134.740ms         1.63%     163.214ms       1.325us       0.000us         0.00%       0.000us       0.000us        123144  
                                       aten::as_strided         0.90%      89.853ms         0.90%      89.853ms       0.296us       0.000us         0.00%       0.000us       0.000us        303316  
                                  cudaStreamIsCapturing         0.01%     664.033us         0.01%     664.033us       0.282us       0.000us         0.00%       0.000us       0.000us          2352  
                                        cudaMemcpyAsync         1.16%     115.872ms         1.16%     115.872ms       5.521us       0.000us         0.00%       0.000us       0.000us         20988  
                                          aten::flatten         0.29%      29.299ms         0.37%      37.006ms       0.783us       0.000us         0.00%       0.000us       0.000us         47236  
                                             aten::view         1.04%     103.747ms         1.04%     103.747ms       0.324us       0.000us         0.00%       0.000us       0.000us        319904  
                                           aten::detach         0.01%     626.546us         0.01%     626.546us       0.799us       0.000us         0.00%       0.000us       0.000us           784  
                                               aten::to         0.07%       7.141ms         0.21%      21.335ms       1.017us       0.000us         0.00%       1.540ms       0.073us         20972  
                                     aten::resolve_conj         0.00%     129.745us         0.00%     129.745us       0.132us       0.000us         0.00%       0.000us       0.000us           980  
                                      aten::resolve_neg         0.00%      73.686us         0.00%      73.686us       0.075us       0.000us         0.00%       0.000us       0.000us           980  
                                          aten::reshape         0.55%      54.763ms         0.77%      77.497ms       1.634us       0.000us         0.00%       0.000us       0.000us         47432  
                                         aten::_to_copy         0.03%       2.836ms         0.14%      14.195ms      12.070us       0.000us         0.00%       1.540ms       1.310us          1176  
                                    aten::empty_strided         0.27%      27.341ms         0.27%      27.341ms       2.583us       0.000us         0.00%       0.000us       0.000us         10584  
                                       aten::empty_like         0.33%      33.132ms         0.96%      96.218ms       3.362us       0.000us         0.00%       0.000us       0.000us         28616  
                                            aten::empty         4.47%     447.531ms         4.47%     447.531ms       2.032us       0.000us         0.00%       0.000us       0.000us        220240  
                                        aten::expand_as         0.00%     474.187us         0.01%       1.176ms       3.001us       0.000us         0.00%       0.000us       0.000us           392  
                                           aten::expand         0.27%      27.419ms         0.32%      32.348ms       1.683us       0.000us         0.00%       0.000us       0.000us         19224  
                                       aten::contiguous         0.15%      15.038ms         2.09%     209.302ms      11.009us       0.000us         0.00%      20.716ms       1.090us         19012  
                                            aten::clone         0.33%      33.118ms         1.94%     194.264ms      10.218us       0.000us         0.00%      20.716ms       1.090us         19012  
                                               aten::lt         0.01%     676.504us         0.01%     676.504us       3.452us       0.000us         0.00%       0.000us       0.000us           196  
                                        aten::embedding         0.00%     359.825us         0.04%       3.838ms      19.583us       0.000us         0.00%     300.186us       1.532us           196  
                                          aten::resize_         0.01%     517.502us         0.01%     517.502us       2.640us       0.000us         0.00%       0.000us       0.000us           196  
                                          aten::permute         0.71%      70.656ms         0.87%      87.010ms       1.541us       0.000us         0.00%       0.000us       0.000us         56448  
                                          aten::numpy_T         0.28%      28.443ms         0.85%      85.454ms       2.271us       0.000us         0.00%       0.000us       0.000us         37632  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.006s
Self CUDA time total: 2.301s

