  PID  PPID  %CPU    RSS COMM
  445     1   0.0  18256 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  447     1   0.0   6128 /usr/libexec/ApplicationFirewall/socketfilterfw
  450     1   0.0  26304 /usr/libexec/symptomsd
  451     1   0.0   5072 /usr/libexec/cryptexd
  452     1   0.0   5408 /usr/libexec/colorsync.displayservices
  455     1   0.0  19568 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  464     1   0.0  16000 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  467     1   0.0  27568 /opt/homebrew/Cellar/xray/25.6.8/libexec/xray
  469     1   0.0   6048 nginx: master process /opt/homebrew/opt/nginx/bin/nginx -g daemon off;
  473     1   0.0   8064 /Library/PrivilegedHelperTools/io.github.clash-verge-rev.clash-verge-rev.service.bundle/Contents/MacOS/clash-verge-service
  476     1   1.6  47296 /Applications/DeskIn.app/Contents/MacOS/DeskIn_Service
  477     1   0.0  10400 /Library/PrivilegedHelperTools/com.docker.vmnetd
  484     1   4.2 104512 /usr/libexec/syspolicyd
  490     1   0.0  14448 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  494     1   0.0   3552 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  496     1   0.0   5808 /usr/sbin/distnoted
  512     1   0.0   6336 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  515     1   0.0   9088 /System/Library/CoreServices/TimeMachine/backupd
  522     1   0.0  11216 /usr/sbin/WirelessRadioManagerd
  525     1   0.0   9088 Core Audio Driver (DeskInAudioDriver.driver)
  526     1   0.0   3856 /System/Library/Frameworks/CoreAudio.framework/Versions/A/XPCServices/com.apple.audio.DriverHelper.xpc/Contents/MacOS/com.apple.audio.DriverHelper
  528     1   0.0   3712 /usr/sbin/cron
  531     1   0.0  27184 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  532     1   0.0   8048 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  533     1   0.0   7872 /usr/libexec/audioclocksyncd
  534     1   0.0  11328 /usr/libexec/findmybeaconingd
  535     1   0.0   3056 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  536     1   0.0  19328 /usr/libexec/audiomxd
  537     1   0.0   7344 /usr/libexec/colorsyncd
  539     1   0.0   8096 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  540     1   0.0  13696 /usr/sbin/appleh13camerad
  541     1   0.0  20400 /usr/libexec/triald_system
  542     1   0.0  12240 /usr/libexec/audioanalyticsd
  543     1   0.0   9392 /System/Library/PrivateFrameworks/AppleDeviceQuerySupport.framework/Versions/A/XPCServices/AppleDeviceQueryService.xpc/Contents/MacOS/AppleDeviceQueryService
  544     1   0.0  21008 /usr/libexec/storagekitd
  545     1   0.0   8192 /usr/libexec/cameracaptured
  546     1   0.0  28144 /usr/libexec/modelmanagerd
  547     1   0.0  11952 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  548     1   0.0  14928 Core Audio Driver (MSTeamsAudioDevice.driver)
  549     1   0.0   7152 /usr/libexec/aneuserd
  550     1   0.0  59152 /usr/libexec/aned
  551     1   0.0   4368 /usr/libexec/online-auth-agent
  552     1   0.0  13280 /System/Library/CoreServices/appleeventsd
  553     1   0.0   9696 Core Audio Driver (ParrotAudioPlugin.driver)
  554     1   0.0   6688 /usr/libexec/containermanagerd
  555     1   0.0   9584 Core Audio Driver (PicoVirtualMicrophone.driver)
  556     1   0.0   9936 Core Audio Driver (PicoVirtualSpeaker.driver)
  557     1   0.0   8832 Core Audio Driver (QSAudio.driver)
  558     1   0.4 1962432 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  559     1   0.0  19712 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  560     1   0.0  20704 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  562     1   0.0   5424 /usr/sbin/distnoted
  563     1   0.0   7312 /usr/libexec/secinitd
  565     1   0.0   6000 /usr/sbin/cfprefsd
  566     1   0.0   4640 /usr/sbin/distnoted
  567     1   0.0  16400 /usr/libexec/trustd
  569     1   0.0  15232 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  571     1   0.0   6112 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
  573     1   0.0  15232 /usr/libexec/mobileactivationd
  574     1   0.0  77552 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  575     1   0.0  12624 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  576     1   0.0   7024 /usr/libexec/containermanagerd
  578     1   0.0   3584 /usr/sbin/distnoted
  579     1   0.0   6016 /usr/libexec/bootinstalld
  580     1   0.0   9488 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  582     1   4.4  52352 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN
  583     1   0.0   3696 /usr/sbin/distnoted
  584     1   0.0  40656 /usr/libexec/searchpartyd
  585     1   0.0   3552 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  586     1   0.0   4240 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  588     1   0.0   5872 /usr/libexec/uarphidd
  591     1   0.0  23520 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  594     1   0.0   9232 /usr/libexec/symptomsd-diag
  595     1   0.0  18416 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  597     1   0.0   8752 /usr/libexec/secinitd
  598     1   0.0   4096 /usr/sbin/cfprefsd
  599     1   0.0  14784 /usr/libexec/trustd
  601     1   0.0  16192 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  603     1   0.0   8880 /usr/libexec/containermanagerd
  604     1   0.0  17760 /System/Library/CoreServices/osanalyticshelper
  605     1   0.0  12192 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  607     1   0.0  13648 /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  608     1   0.0   4128 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  609   469   0.0   1168 nginx: worker process
  611     1   0.0   5600 /usr/sbin/distnoted
  623     1   0.0  17488 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  624     1   0.0   5552 /usr/libexec/applekeystored
  625     1   0.0   9936 /usr/sbin/distnoted
  626     1   0.0  13040 /usr/sbin/cfprefsd
  627     1   0.0  67216 /usr/libexec/secd
  628     1   0.0   7840 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  629     1   0.0  16480 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
